,GBPUSD,GBPEUR,FTSE,SNP,UKGILT,HSI,DAX,CAC,FTMIB,MICEX,KY
GBPUSD,1.0,0.5198981168564768,0.014284279801921426,0.1943763595263472,-0.12491501131205565,0.06014769830662152,0.14196323121937554,0.14909434719559417,0.19002639823858083,0.10203852218684721,-0.1441606323737994
GBPEUR,0.5198981168564768,1.0,0.08458173677724384,0.1898275846743355,-0.11121415474957386,0.11802890659412749,0.2713458731791601,0.25263488191887307,0.22925767660005342,0.061921430095841515,-0.1002965320363712
FTSE,0.014284279801921426,0.08458173677724384,1.0,0.5835400843276364,-0.1759314966298602,0.41905741519323647,0.8159147464671874,0.8492306099585001,0.7344791058236142,0.46038707320555183,-0.004998124039434066
SNP,0.1943763595263472,0.1898275846743355,0.5835400843276364,1.0,-0.17947363018668983,0.228069265061409,0.5733491780427125,0.5964804264681005,0.5380376385531309,0.32291840969111446,0.0007938877561930809
UKGILT,-0.12491501131205565,-0.11121415474957386,-0.1759314966298602,-0.17947363018668983,1.0,-0.07781116163308902,-0.19927445700838453,-0.2101311191054322,-0.2218721585355162,-0.09073528513210859,0.0566209623559952
HSI,0.06014769830662152,0.11802890659412749,0.41905741519323647,0.228069265061409,-0.07781116163308902,1.0,0.3795653592530483,0.37460766212771845,0.3086628040858451,0.33297662294345154,-0.007232593822010786
DAX,0.14196323121937554,0.2713458731791601,0.8159147464671874,0.5733491780427125,-0.19927445700838453,0.3795653592530483,1.0,0.9295274289361786,0.8166224167453606,0.4486116475976973,-0.028520778130521587
CAC,0.14909434719559417,0.25263488191887307,0.8492306099585001,0.5964804264681005,-0.2101311191054322,0.37460766212771845,0.9295274289361786,1.0,0.8695360566797806,0.44448157971518987,-0.03602761455329709
FTMIB,0.19002639823858083,0.22925767660005342,0.7344791058236142,0.5380376385531309,-0.2218721585355162,0.3086628040858451,0.8166224167453606,0.8695360566797806,1.0,0.3963020522305827,-0.06026925126193853
MICEX,0.10203852218684721,0.061921430095841515,0.46038707320555183,0.32291840969111446,-0.09073528513210859,0.33297662294345154,0.4486116475976973,0.44448157971518987,0.3963020522305827,1.0,0.014623890732616539
KY,-0.1441606323737994,-0.1002965320363712,-0.004998124039434066,0.0007938877561930809,0.0566209623559952,-0.007232593822010786,-0.028520778130521587,-0.03602761455329709,-0.06026925126193853,0.014623890732616539,1.0
